month;Akkus & Batterien;All in One PCs;Augen-, Ohren- & Nasenmedikamente;Autobatterien;Bestecke;Betriebssysteme;Bohrer & Bits;Bridgekameras;Champagner, Sekt & Prosecco;Clogs;Duschprodukte & Badprodukte;Dünger;Eingabestifte;Einkaufstaschen;Epilierer & Ladyshaver;Fahrradanhänger;Fahrradbeleuchtung;Fahrradschlösser;Ferngläser;Fritteusen;Funktionsunterwäsche;Gartenhäuser;Gartenlampen;Gartenpumpen;Gartenschläuche;Gartenstühle;Geldbörsen;Gelenk- & Muskelpräparate;Gin;Haarfarben;Haartrockner;Hairstyler;Herren-Halbschuhe;Herren-Shirts;Herren-Stiefel;Hochstühle;Homöopathie;Kaffee & Espresso;Kaffeemaschinen-Reinigung;Kaffeepadmaschinen;Kamera-Stative;Kamerataschen;Kamine & Öfen;Kapselmaschinen;Kinderfahrräder;Kinderroller;Kompressoren;Kuscheltiere;Küchenarmaturen;Kühlboxen;Laserdrucker;Liköre;Magen-Darm-Medikamente;Matratzen;Messer;Modelleisenbahnen;Motorradreifen;Motorsensen;Multifunktionswerkzeuge;Mülleimer;Nähmaschinen;Outdoor-Navigation;PC-Gehäuse;PC-Spiele;Pflege-Geschenksets;Plattenspieler;PowerLine;Rasierklingen & Scherköpfe;Rauchmelder;Reinigungsmittel;Rennräder;Rum;Sanitärinstallation;Schlagschrauber;Schmerzmittel;Skihelme & Snowboardhelme;Sonnenpflege;Sonnenschirme;Spielzeug-Fahrzeuge;Spirituosen & Schnaps;Sportbrillen;Sportnahrung;Spülen;Steckdosen;Steuersoftware;Stichsägen;Taschenmesser;Thermoskannen;Thermostate;Trainingsanzüge;Trekkingsandalen;Trinkflaschen;USB Sticks;Umhängetaschen;VR-Brillen;Verstärker;WC;Waschtrockner;Xbox One Spiele;Zubehör für Küchengeräte
1.0;85837.0;79256.0;66158.0;140228.0;109343.0;73941.0;65603.0;72261.0;59294.0;54682.0;52890.0;14660.0;51854.0;60893.0;49140.0;47370.0;54768.0;41640.0;69739.0;124588.0;157065.0;44304.0;83651.0;38703.0;17446.0;20061.0;61264.0;98846.0;45195.0;67177.0;59833.0;61955.0;86496.0;16259.0;119640.0;101493.0;103045.0;61684.0;81713.0;84878.0;75904.0;50189.0;91968.0;97562.0;43226.0;36156.0;51871.0;55834.0;100422.0;32408.0;67866.0;65882.0;103019.0;96380.0;80066.0;61563.0;42681.0;17014.0;62949.0;76560.0;63485.0;49521.0;108966.0;88254.0;48004.0;75614.0;89920.0;95052.0;70847.5;51903.0;39648.0;56040.0;67158.0;59699.0;58183.0;230439.0;29001.0;12608.0;55639.0;55677.0;48483.0;103266.0;71150.5;83793.0;160495.0;81292.0;67892.0;97553.0;139182.0;75437.0;25949.0;71637.0;96297.0;48267.0;77844.0;102167.0;72377.0;77931.0;77307.0;81669.0
2.0;57004.0;64025.0;60818.0;81306.0;68012.0;68449.5;52766.0;59766.0;45497.0;47439.0;43080.0;43937.0;41661.0;50232.0;35813.0;76074.0;45531.0;51674.0;59350.0;70534.0;110573.0;73293.0;83298.5;44686.0;23100.0;45057.0;44239.0;84354.0;38792.0;62326.0;47687.0;46088.0;75529.0;17255.0;59948.0;76508.0;91365.0;48629.0;58457.0;56662.0;61404.0;52012.0;61988.0;77435.0;74603.0;46916.0;49023.0;42494.0;79470.0;31193.0;52923.0;56899.0;81637.0;71004.0;54093.0;46386.0;56870.0;20827.0;51518.0;61748.0;50169.0;47449.0;78883.0;69665.0;44873.0;50103.0;63667.0;70277.0;64183.0;50367.0;39116.0;45484.0;57996.0;53088.0;48637.0;141903.0;41468.0;30559.0;34895.0;45699.0;48266.0;87692.0;91562.0;60625.0;129618.0;61835.0;53403.0;71459.0;79301.0;58520.0;27387.0;34986.0;67531.0;36728.0;40863.0;74299.0;62557.0;52693.0;54913.0;59523.0
3.0;60308.0;69544.0;63310.0;78226.0;71481.0;62958.0;74365.0;76072.0;48162.0;60777.0;48927.0;108475.0;50009.0;60415.0;49652.0;116351.0;54183.0;85624.0;69948.0;85528.0;82104.0;136358.0;82946.0;88128.0;60818.0;92144.0;47938.0;95773.0;45184.0;71354.0;51743.0;48172.0;84195.0;26641.0;43771.0;92569.0;102770.0;61846.0;64774.0;64986.0;71545.0;53835.0;54577.0;87328.0;125403.0;87064.0;68896.0;52003.0;82896.0;46854.0;56507.0;57719.0;92948.0;79365.0;63124.0;46734.0;75094.0;43686.0;67675.0;67968.0;71601.0;56976.0;86123.0;77264.0;41742.0;54659.0;68289.0;75863.0;63957.0;62422.0;48497.0;56281.0;63471.0;83444.0;52331.0;86050.5;61713.0;72379.0;45306.0;51555.0;58190.0;99218.0;97770.0;68259.0;109827.0;81925.0;59882.0;69488.0;71431.0;76059.0;37763.0;44189.0;83430.0;43493.0;50260.0;80303.0;70651.0;64458.0;66850.0;64530.0
4.0;52951.0;59271.0;61108.0;76142.0;63153.0;48650.0;66463.0;67330.0;47216.0;66324.0;44637.0;107006.0;48087.0;55228.0;58933.0;128448.0;48129.0;116423.0;68287.0;66152.0;49660.0;127542.0;80812.0;143570.0;145316.0;113492.0;42505.0;89059.0;46865.0;62092.0;49645.0;43620.0;92861.0;41301.0;28011.0;70298.0;97353.0;50124.0;54405.0;53540.0;63608.0;51620.0;38366.0;77147.0;116571.0;100233.0;61522.0;50305.0;65993.0;62273.0;47212.0;59171.0;87816.0;61765.0;52588.0;36781.0;79223.0;103653.0;60507.0;56769.0;48123.0;66503.0;65694.0;100981.0;40502.0;40990.0;56605.0;64517.0;45967.0;60658.0;51525.0;52042.0;52512.0;78600.0;48094.0;30198.0;108123.0;128951.0;42651.0;47630.0;64422.0;91656.0;79322.0;60452.0;78742.0;66296.0;53183.0;62476.0;48144.0;69924.0;54522.0;46096.5;65050.0;44078.0;36173.0;63780.0;54638.0;51924.0;52446.0;55452.0
5.0;53609.0;64724.0;60403.0;69188.0;64833.0;50789.0;67628.0;63150.0;52014.0;63495.0;48087.0;85301.0;41707.0;58704.0;68340.0;109791.0;43298.0;111497.0;72265.0;61778.0;54079.0;116835.0;73005.0;108720.0;117437.0;79982.0;51574.0;94063.0;51933.0;65393.0;50432.0;45125.0;93876.0;61987.0;25373.0;70216.0;99076.0;53033.0;58017.0;48434.0;63430.0;49685.0;40569.0;76091.0;84151.0;75479.0;60859.0;41627.0;68642.0;77206.0;48139.0;56225.5;94759.0;66225.0;52652.0;35983.0;78000.0;203845.0;63753.0;61295.0;46616.0;75249.0;67402.0;79521.0;44874.0;42223.0;57494.0;71769.0;49965.0;57206.0;54351.0;52350.0;53920.0;68794.0;46597.0;14872.0;107647.0;85109.0;35515.0;51704.0;60738.0;89085.0;77624.0;61444.0;66219.0;71206.0;55526.0;60360.0;46641.0;92050.0;59141.0;48004.0;66729.0;44663.0;39560.0;63375.0;54674.0;54839.0;49444.0;52876.0
6.0;41279.0;52838.0;50553.0;58077.0;51157.0;41656.0;55285.0;58265.0;43982.0;70301.0;43136.0;60301.0;35962.0;57372.0;74660.0;100654.0;34769.0;87918.0;63751.0;46845.0;59854.0;87774.0;63999.0;123561.0;145930.0;87699.0;39483.0;67680.0;52986.0;48987.0;37526.0;41089.0;73075.0;104116.0;16604.0;58433.0;85304.0;36225.0;44301.0;44951.0;54610.0;43159.0;25039.0;56431.0;66691.0;54897.0;51998.0;42265.0;51339.0;135891.0;36522.0;53280.0;79523.0;52935.0;42387.0;28738.0;75036.5;206145.0;47885.0;47921.0;36064.0;67488.0;57144.0;55432.0;35067.0;36850.0;55631.0;64818.0;33516.0;43634.0;55785.0;43363.0;42624.0;51769.0;45100.0;10750.0;180875.0;160120.0;25909.0;46161.0;68124.0;74382.0;56825.0;50124.0;44700.0;56079.0;50612.0;38502.0;28527.0;53250.0;143487.0;54461.0;52444.0;39809.0;46709.0;44298.0;40664.0;46655.0;43160.0;41855.0
7.0;51532.0;59344.0;49833.0;65244.0;63732.0;52040.0;69635.0;65122.0;51685.0;74882.0;54659.0;53661.0;37635.0;65550.0;78768.0;117430.0;47779.0;90648.0;74807.0;69031.0;72965.0;90911.0;70247.0;127383.0;167459.0;85651.0;53262.0;73107.0;62765.0;56791.0;53121.0;42839.0;81014.0;120117.0;24637.0;74900.0;75536.0;48776.0;50312.0;53801.0;64769.0;51005.0;35000.0;69054.0;64291.0;64260.0;55337.0;42903.0;61413.0;149431.0;43202.0;60887.0;80942.0;69760.0;50892.0;33594.0;72073.0;132002.0;57504.0;55291.0;47551.0;81292.0;71286.0;57130.0;39027.0;35887.0;63415.0;84049.0;42512.0;51958.0;73452.0;56058.0;54022.0;58396.0;48538.0;14145.0;109958.0;122055.0;37421.0;55214.0;73348.0;84263.0;66446.0;74812.0;61553.0;60989.0;56172.0;51530.0;38415.0;62003.0;138619.0;62719.0;66292.0;55499.0;41843.0;52199.0;48973.0;49776.0;44509.0;46067.0
8.0;53645.0;66262.0;48177.0;73631.0;67409.0;56784.0;59565.0;53507.0;51138.0;70006.0;50185.0;49973.0;42626.0;64218.0;62817.0;100878.0;61155.0;92668.0;71646.0;54113.0;71921.0;95003.0;73231.0;90853.5;83945.0;75239.0;56216.0;74058.0;51507.0;53672.0;48116.0;54481.0;86341.0;103288.0;33061.0;74915.0;73246.0;49368.0;49828.0;51679.0;73888.0;49831.0;54514.0;67095.0;71905.0;60366.0;50216.0;45263.0;61562.0;87717.0;44798.0;57170.0;81314.0;74576.0;53157.0;35991.0;68973.0;102163.0;52201.0;60999.0;46775.0;69567.0;79295.0;68420.0;33955.0;35782.0;66164.0;72764.0;43982.0;52710.0;76548.0;50372.0;54156.0;50665.0;53018.0;18340.0;62763.0;68805.0;42722.0;54880.0;59943.0;76068.0;70944.0;56728.0;26661.0;64555.0;61347.0;44178.0;36296.0;83345.0;104215.0;71011.0;70198.0;57578.0;43386.5;56306.0;54769.0;54856.0;48533.0;43040.0
9.0;59689.0;73095.0;48351.0;81170.0;67459.0;60186.0;57532.0;48145.0;48792.0;61076.0;48684.0;52320.0;67171.0;57653.0;48030.0;72074.0;75394.0;75763.0;66635.0;59657.0;57420.0;84584.0;76074.0;54324.0;43407.0;38458.0;47533.0;76034.0;42216.0;51440.0;47665.0;56292.0;92675.0;56848.0;76775.0;77924.0;75963.0;48974.0;51268.0;62814.0;70136.0;44857.0;104316.0;78659.0;66394.0;62572.0;53921.0;46008.0;69086.0;47162.0;52827.0;51560.0;81686.0;75464.0;55126.0;39150.0;55164.0;63678.0;53824.0;61289.0;55925.0;57264.0;77677.0;68621.0;33731.0;40314.0;62757.0;70100.0;50014.0;48873.0;60586.0;44724.0;57654.0;65726.0;53821.0;27765.0;36272.0;26670.0;46057.0;49224.0;38954.0;67697.0;70761.0;61288.0;28027.0;66796.0;60327.0;34902.0;85005.0;74188.0;45445.0;68353.0;71540.0;49598.0;44930.0;66289.0;56981.0;63413.0;77340.0;46716.0
10.0;76197.0;88703.0;53851.0;98347.0;72632.0;75163.0;87125.0;43933.0;55949.0;58034.0;54175.0;39397.0;81881.0;57965.0;41127.0;59021.0;79686.5;53324.0;71851.0;109137.0;73666.0;65254.0;90024.0;42488.0;33399.0;23501.0;47800.0;90463.0;43719.0;54717.0;59774.0;57158.0;99431.0;42971.0;141026.0;80802.0;85579.0;51311.0;60593.0;58184.0;61160.0;46649.0;127319.0;88600.0;57775.0;62472.0;63686.0;68881.0;75367.0;27816.0;54999.0;57834.0;88467.0;80014.0;60390.0;58843.0;48888.0;43567.0;64302.0;64567.0;59569.0;47615.0;79414.0;75964.0;47736.0;61637.5;66118.0;74573.0;56240.0;52009.0;47258.0;55149.0;53684.0;95371.0;52883.0;54993.0;29011.0;11776.0;70209.0;60300.0;29349.0;69436.0;79309.0;71467.0;26557.0;81187.0;68313.0;44427.0;141154.0;81917.0;24993.0;54371.0;73122.0;52964.0;47153.0;77981.0;55604.0;72817.0;85936.5;59478.0
11.0;90985.0;134463.0;60295.0;119610.0;120611.0;83613.0;79982.0;69793.0;81140.0;60817.0;73703.0;16678.0;126708.0;88338.0;93151.0;58355.0;83979.0;48192.0;87211.0;158617.0;92629.0;48800.0;108851.0;35725.0;23391.0;17523.0;75173.0;86296.0;68530.0;60199.0;119662.0;151477.0;103734.0;47419.0;223657.0;122147.0;89831.0;57607.0;64786.0;100249.0;85450.0;57777.0;132854.0;144649.0;84053.0;116394.0;71492.0;164258.0;79048.0;30478.0;70353.0;72898.0;91995.0;86997.0;100000.0;84046.0;44407.0;30723.0;87390.0;74699.0;111331.0;71894.0;113363.0;92315.0;96977.0;82961.0;93672.0;97740.0;67517.0;54076.0;38973.0;98316.0;45353.0;110888.0;56052.0;125445.0;29023.0;9528.0;186699.0;75783.0;29479.0;74495.0;87857.0;107499.0;59815.0;118386.0;70245.0;77095.0;198966.0;97268.0;18129.0;68006.0;88680.0;74986.0;114395.0;88000.0;54707.0;101172.0;94533.0;104043.0
12.0;93308.0;109622.0;56467.0;100076.0;137466.0;87874.0;80429.0;62047.0;76700.5;60113.0;82486.0;12450.0;111838.0;165241.0;74033.0;46922.0;68197.0;52317.0;82770.0;127055.0;108369.0;38525.0;93995.0;28962.0;19262.0;13816.0;108288.0;78549.0;78719.0;55085.0;107139.0;152444.0;82945.0;50471.0;177042.0;97481.0;78674.0;53651.0;61782.0;88286.0;76945.0;63997.0;92996.0;135537.0;67216.0;105993.0;53584.0;162391.0;67513.0;25162.0;58745.0;103994.0;86511.0;69590.0;128902.0;98304.0;32578.0;21698.0;78090.0;71227.0;89762.0;58525.0;116906.0;99167.0;125064.0;86708.0;84911.0;75065.0;63363.0;46627.0;30723.0;95706.0;54447.0;84926.0;53256.0;162401.0;26551.0;8404.0;200433.0;96599.0;32006.0;50739.0;71358.0;100870.0;97095.0;105392.0;79293.0;81741.0;136228.0;84307.0;14633.0;77512.0;84656.0;91742.0;107757.0;98019.0;53810.0;70408.0;89577.0;118892.0
